TIME,LS-704,LS-705,LS-706,LS-707,LS-708,LS-709,LS-710,LS-711,LS-712,LS-713,LS-714,LS-715,LS-716,LS-717,LS-718,LS-719,LS-720,LS-721
111.20304723192376,1233.5,1132.8,1322.5,1314.5,1234.5,1506.66666667,1581.5,1865.33333333,1877.5,1830.5,1857.0,1682.75,1601.6,1643.6,1548.0,1404.33333333,1358.0,1137.66666667
115.65116912120071,1190.75,1237.2,1390.5,1262.75,1250.5,1527.0,1646.5,1880.66666667,1846.5,1815.25,1900.0,1672.0,1600.0,1559.4,1510.4,1402.16666667,1333.16666667,1170.0
120.09929101047766,1175.5,1255.2,1405.75,1202.5,1339.5,1593.33333333,1699.5,1935.66666667,1741.75,1814.0,1782.5,1631.25,1642.6,1564.0,1493.8,1359.5,1319.5,1193.0
124.5474128997546,1175.75,1154.6,1346.5,1215.75,1409.75,1663.33333333,1680.75,2007.0,1695.25,1811.5,1649.0,1600.5,1679.0,1602.8,1492.0,1335.16666667,1342.66666667,1220.0
128.99553478903155,1154.0,1052.8,1266.25,1274.75,1385.0,1697.33333333,1663.25,2034.33333333,1705.5,1799.0,1672.25,1615.25,1705.2,1578.2,1500.6,1321.66666667,1287.5,1224.5
133.4436566783085,1128.25,1063.8,1221.25,1299.75,1345.75,1712.33333333,1667.0,1980.33333333,1673.5,1790.75,1722.5,1625.0,1714.8,1496.2,1531.8,1318.83333333,1198.16666667,1203.33333333
137.89177856758545,1117.5,1101.0,1242.75,1275.25,1347.0,1744.66666667,1711.25,1970.0,1639.5,1792.25,1722.5,1619.25,1696.2,1451.8,1530.0,1329.33333333,1145.33333333,1196.33333333
142.3399004568624,1111.5,1138.0,1305.75,1209.5,1296.0,1712.33333333,1744.75,2008.0,1637.0,1766.5,1692.5,1620.25,1664.8,1430.8,1507.4,1327.16666667,1152.0,1219.33333333
146.78802234613937,1104.5,1187.0,1306.5,1185.25,1264.75,1641.66666667,1739.5,2004.0,1667.5,1730.5,1686.75,1651.75,1655.8,1491.2,1557.2,1294.16666667,1227.66666667,1217.83333333
151.2361442354163,1126.75,1198.0,1259.0,1255.0,1285.75,1567.66666667,1710.0,1982.33333333,1668.75,1775.0,1745.75,1650.5,1704.6,1618.8,1597.0,1280.5,1278.66666667,1152.5
155.68426612469327,1161.0,1170.0,1245.0,1334.0,1266.75,1504.33333333,1663.25,1968.66666667,1661.25,1816.5,1824.75,1558.5,1756.4,1697.6,1544.8,1280.5,1247.16666667,1100.66666667
160.1323880139702,1127.5,1128.4,1274.75,1322.75,1262.25,1504.0,1661.5,1973.33333333,1670.0,1763.5,1843.0,1480.5,1763.0,1721.6,1478.6,1293.0,1196.0,1094.66666667
164.58050990324716,1092.0,1120.0,1343.25,1279.75,1297.75,1579.33333333,1632.25,1967.0,1694.5,1713.0,1787.5,1518.5,1768.4,1735.2,1456.8,1278.33333333,1199.5,1072.5
169.02863179252412,1138.25,1127.6,1359.0,1299.0,1335.25,1633.33333333,1573.5,1907.33333333,1747.75,1727.25,1789.75,1612.25,1706.6,1725.8,1450.6,1265.16666667,1245.0,1016.83333333
173.47675368180106,1161.25,1097.4,1319.5,1319.75,1397.5,1637.66666667,1601.25,1907.66666667,1755.5,1781.25,1835.0,1670.5,1597.2,1681.4,1457.8,1285.16666667,1258.33333333,965.333333333
177.92487557107802,1118.75,1096.6,1295.75,1270.5,1436.5,1605.66666667,1645.75,1987.66666667,1728.25,1762.5,1805.25,1638.0,1561.8,1621.2,1455.6,1314.83333333,1243.66666667,979.166666667
182.37299746035495,1082.75,1146.8,1308.5,1178.25,1400.5,1589.66666667,1642.0,2049.33333333,1758.0,1740.25,1770.75,1597.5,1618.4,1596.0,1461.4,1340.83333333,1263.5,1076.66666667
186.8211193496319,1087.25,1172.4,1284.25,1160.25,1325.0,1611.33333333,1654.25,1972.33333333,1779.75,1763.75,1765.0,1619.75,1652.4,1589.4,1514.8,1328.83333333,1284.0,1135.33333333
191.26924123890888,1152.75,1175.8,1249.5,1245.75,1275.75,1644.66666667,1652.25,1860.0,1743.5,1741.5,1732.25,1602.75,1610.0,1594.2,1547.6,1267.33333333,1265.0,1075.33333333
195.7173631281858,1208.5,1217.8,1234.5,1320.75,1322.25,1694.0,1599.0,1833.66666667,1720.75,1663.5,1694.25,1585.0,1561.2,1579.8,1547.4,1240.33333333,1214.16666667,1049.5
200.16548501746277,1160.75,1226.8,1217.0,1282.75,1365.75,1690.66666667,1567.0,1858.33333333,1720.0,1645.75,1685.5,1612.5,1556.6,1579.6,1520.4,1256.33333333,1194.5,1161.83333333
204.6136069067397,1069.0,1158.0,1159.0,1237.25,1339.5,1583.0,1559.25,1904.66666667,1710.5,1736.75,1632.75,1680.0,1599.6,1660.8,1476.4,1262.16666667,1264.5,1253.5
209.06172879601667,1065.0,1099.2,1134.0,1223.5,1320.5,1465.0,1589.5,1962.66666667,1730.75,1817.75,1609.25,1754.0,1634.4,1708.4,1457.2,1278.66666667,1336.83333333,1235.83333333
213.5098506852936,1092.5,1130.6,1185.5,1218.0,1308.0,1461.66666667,1627.25,1974.33333333,1775.5,1833.75,1704.0,1737.5,1650.4,1672.0,1453.4,1313.33333333,1344.83333333,1199.33333333
217.95797257457056,1038.0,1201.8,1240.25,1200.0,1289.5,1538.33333333,1603.5,1903.33333333,1786.25,1760.0,1758.5,1704.25,1667.6,1642.4,1459.6,1336.5,1386.5,1180.66666667
222.40609446384752,975.5,1216.6,1232.75,1197.5,1301.5,1611.66666667,1571.5,1841.66666667,1761.25,1652.75,1732.75,1734.5,1684.2,1663.8,1446.4,1329.66666667,1389.33333333,1150.66666667
226.85421635312446,1011.0,1177.8,1188.25,1225.0,1331.75,1648.0,1583.5,1840.66666667,1755.25,1575.25,1712.0,1745.25,1644.2,1668.8,1436.8,1341.16666667,1317.66666667,1107.0
231.30233824240142,1056.25,1170.8,1191.75,1270.75,1327.5,1638.0,1618.75,1813.0,1752.5,1574.0,1695.5,1700.75,1580.6,1649.8,1479.0,1336.83333333,1227.33333333,1066.33333333
235.75046013167835,1058.0,1194.6,1213.75,1265.75,1270.25,1573.33333333,1583.5,1784.66666667,1724.25,1689.5,1687.75,1618.0,1599.8,1638.8,1541.4,1312.16666667,1195.5,1046.0
240.1985820209553,1059.0,1162.4,1233.25,1241.5,1237.75,1509.33333333,1560.0,1831.0,1697.25,1773.25,1731.0,1562.75,1629.4,1618.4,1531.8,1364.5,1251.83333333,1069.83333333
244.64670391023228,1030.0,1077.4,1225.5,1226.0,1235.75,1477.66666667,1574.25,1899.0,1741.25,1688.25,1774.25,1513.5,1618.0,1611.4,1507.4,1407.83333333,1288.16666667,1121.0
249.0948257995092,1001.75,1030.4,1231.0,1211.75,1264.0,1440.33333333,1539.5,1905.33333333,1806.25,1605.25,1751.75,1490.25,1585.4,1609.6,1487.4,1351.33333333,1230.66666667,1117.33333333
253.54294768878617,1057.5,1031.2,1269.25,1192.25,1256.0,1427.33333333,1520.75,1913.0,1832.25,1674.0,1729.5,1539.25,1532.4,1618.6,1465.8,1297.16666667,1177.33333333,1111.66666667
257.9910695780631,1106.75,1041.8,1292.25,1203.25,1213.0,1453.66666667,1551.25,1936.33333333,1816.5,1711.0,1738.0,1557.75,1513.4,1649.8,1475.8,1346.0,1221.5,1160.33333333
262.4391914673401,1063.5,1094.0,1309.75,1249.0,1261.5,1471.66666667,1608.25,1909.33333333,1765.75,1650.25,1697.5,1524.75,1553.4,1608.6,1501.6,1397.33333333,1236.0,1197.5
