14.01.06-22.35,_STRUCTURE EDITOR.py,98,LSpopulategui(),automatically generate 0-10ms baseline if none defined.
14.01.06-22.35,_STRUCTURE EDITOR.py,102,LSpopulategui(),added messagebar details from XML data (PMT gain, pockels, etc.)
14.01.06-22.35,_STRUCTURE EDITOR.py,213,LSupdateTimes(),use gui to invent baseline if none entered
14.01.06-22.35,_STRUCTURE EDITOR.py,232,LSupdateBlurs(),fixed bug that caused selected structure to become unselected when adjusting gaussian
14.01.09-18.09,linescan.py,795,LineScan/peaksGraph(),if peaksGraph called, ensure projection images are available.
14.01.09-18.09,reports.py,6,OUTSIDE,created report.py to assemble individual folder report functions
14.01.11-17.31,linescan.py,275,listFolderScans(),used "sorted(files,key=lambda nick: nick[2])" to sort file browser list by date (as pulled from XML data)
14.01.11-17.31,_ACTIVATOR.py,8,OUTSIDE,created standalone activation screen
14.01.12-22.59,_STRUCTURE EDITOR.py,12,OUTSIDE,extreme modification to licensing and key generation methods
14.01.13-15.39,compare.py,6,OUTSIDE,started compare.py to allow experimental comparison of multiple linescan experiments
14.01.13-15.39,linescan.py,203,listFolderScans(),using file modification date for files without .XML files
14.01.13-15.39,linescan.py,205,listFolderScans(),relying on ABF modification time, not creation time
14.01.13-15.39,linescan.py,212,listFolderScans(),file timestamp now in localtime instead of gmtime
14.01.13-15.39,linescan.py,292,listFolderScans(),check if 'hidden' file is in ./sag/ at file population time
14.01.13-15.39,linescan.py,299,listFolderScans(),now folder lists are sorted appropriately in the browser
14.01.13-15.39,linescan.py,658,LineScan/hide(),created LS.hide() function
14.01.13-15.39,linescan.py,665,LineScan/unhide(),created LS.unhude() function
14.01.13-15.39,linescan.py,695,LineScan/intensity(),updated config["guiBaseline"] code to properly range based on ms (not pixels).
14.01.13-15.39,linescan.py,723,LineScan/intensity(),updated config["guiMeasure"] code to properly range Avg/Pk pixel bounds.
14.01.13-15.39,registration.py,9,OUTSIDE,modification of PC-ID, now fully hardware based
14.01.13-15.39,reports.py,7,OUTSIDE,added raw (where every sweep is shown) average plots for each structure.
14.01.13-15.39,reports.py,8,OUTSIDE,added colormap to color-code sweep time
14.01.13-15.39,_STRUCTURE EDITOR.py,487,LSupdateOL(),updated overlay (multX) code to properly range baseline/event pixel bounds.
14.01.13-15.39,_STRUCTURE EDITOR.py,867,browserSelectionRecall(),implimented selection recall function to prevent losing selected scan while changing file display options
14.01.13-15.39,_STRUCTURE EDITOR.py,1034,hideClicked(),added "hide" options which allow shortening of browser path names.
14.01.13-22.52,linescan.py,1221,LineScanCompare(),added LineScaneCompare class to linescan.py
14.01.13-22.52,registration.py,78,activator_website(),registration box now launches registration website
14.01.13-22.52,SAG_formats.py,9,OUTSIDE,started a class for projection (and depth coding) of Zseries folders.
14.01.13-22.52,_STRUCTURE EDITOR.py,92,fromLE(),created entire section for experiment design and linescan comparison across folders
14.01.14-18.53,_STRUCTURE EDITOR.py,823,reloadPathForce(),added button to save 'index.pkl' to speed-up linescan folder loading
14.01.14-23.33,structureEditor.py,917,setPath(),if a browsed folder contains at least 1 linescan, automatically make a pickel.
14.01.24-14.51,linescan.py,56,threadCommand(),added a function to threadedly execute any dos command
14.01.24-14.51,linescan.py,228,listFolderScans(),causing browser to show 24 hour timestamps to help for alphabetical ordering
14.01.24-14.51,reports.py,118,reportSummaryLS(),fixed issue with colorbar having n-1 colors
14.01.24-14.51,reports.py,119,reportSummaryLS(),rather than show time points as seconds, show it sa sweep number
14.01.24-14.51,structureEditor.py,1234,pageZseries(),added a lot of code to allow for T-series projection viewing
14.01.24-14.51,structureEditor.py,1256,pageTseriesSet(),added a lot of code to allow for T-series viewing
14.01.24-14.51,structureEditor.py,1272,pageTseriesGenerate(),create 'animaged.gif' any time a tseries is converted.
14.01.24-14.51,structureEditor.py,1280,pageTseriesPlay(),got T-series animation working.
14.04.19-16.15,structureEditor.py,154,LSC_launch(),added R, G, dG, and dGR to charts generated by experiment.
14.04.19-16.15,structureEditor.py,1418,clearSettings(),made default smoothing values 1 instead of 0
